"C_ID"|"C_ID"|"C_ACTUALARRIVAL"|"C_ACTUALDEPARTURE"
"73f316ac79c18950000001288d29bb0f00b1"|"73f316ac79c18950000001288d29baff00b0"|01.04.10 07:42:09,000000000|01.04.10 06:21:21,000000000
"73f316ac79c18950000001288d29bb2e00b2"|"73f316ac79c18950000001288d29bb0f00b1"|01.04.10 08:54:07,000000000|01.04.10 07:57:09,000000000
"73f316ac79c18950000001288d24910900ca"|"73f316ac79c18950000001288d2490ea00c9"|29.03.10 02:06:51,000000000|29.03.10 00:00:00,000000000
"73f316ac79c18950000001288d24922300cb"|"73f316ac79c18950000001288d24910900ca"|29.03.10 05:32:13,000000000|29.03.10 03:16:51,000000000
"73f316ac79c18950000001288d24923200cc"|"73f316ac79c18950000001288d24922300cb"|29.03.10 07:48:25,000000000|29.03.10 05:42:13,000000000
"73f316ac79c18950000001288d24bba400ce"|"73f316ac79c18950000001288d24bb9400cd"|29.03.10 00:37:12,000000000|29.03.10 00:00:00,000000000
"73f316ac79c18950000001288d24bbb300cf"|"73f316ac79c18950000001288d24bba400ce"|29.03.10 01:29:03,000000000|29.03.10 00:47:12,000000000
"73f316ac79c18950000001288d24bbc300d0"|"73f316ac79c18950000001288d24bbb300cf"|29.03.10 02:20:06,000000000|29.03.10 01:49:03,000000000
"73f316ac79c18950000001288d24d90f00d2"|"73f316ac79c18950000001288d24d8ff00d1"|29.03.10 01:26:43,000000000|29.03.10 00:00:00,000000000
"73f316ac79c18950000001288d24d91f00d3"|"73f316ac79c18950000001288d24d90f00d2"|29.03.10 03:10:58,000000000|29.03.10 01:46:43,000000000
"73f316ac79c18950000001288d24d92e00d4"|"73f316ac79c18950000001288d24d91f00d3"|29.03.10 03:45:20,000000000|29.03.10 03:20:58,000000000
"73f316ac79c18950000001288d24d93e00d5"|"73f316ac79c18950000001288d24d92e00d4"|29.03.10 04:28:20,000000000|29.03.10 04:05:20,000000000
"73f316ac79c18950000001288d24d94d00d6"|"73f316ac79c18950000001288d24d93e00d5"|29.03.10 04:54:03,000000000|29.03.10 04:38:20,000000000
"73f316ac79c18950000001288d24d95d00d7"|"73f316ac79c18950000001288d24d94d00d6"|29.03.10 05:30:02,000000000|29.03.10 05:24:03,000000000
"73f316ac79c18950000001288d24d96d00d8"|"73f316ac79c18950000001288d24d95d00d7"|29.03.10 05:58:13,000000000|29.03.10 05:40:02,000000000
"73f316ac79c18950000001288d24eab300da"|"73f316ac79c18950000001288d24eaa300d9"|29.03.10 08:32:20,000000000|29.03.10 07:26:49,000000000
"73f316ac79c18950000001288d24ead200dc"|"73f316ac79c18950000001288d24eac200db"|29.03.10 01:51:04,000000000|29.03.10 00:00:00,000000000
"73f316ac79c18950000001288d24eae100dd"|"73f316ac79c18950000001288d24ead200dc"|29.03.10 04:03:46,000000000|29.03.10 02:01:04,000000000
"73f316ac79c18950000001288d24eaf100de"|"73f316ac79c18950000001288d24eae100dd"|29.03.10 04:18:59,000000000|29.03.10 04:13:46,000000000
"73f316ac79c18950000001288d24eb0100df"|"73f316ac79c18950000001288d24eaf100de"|29.03.10 05:50:50,000000000|29.03.10 04:28:59,000000000
"73f316ac79c18950000001288d24eb1000e0"|"73f316ac79c18950000001288d24eb0100df"|29.03.10 06:25:49,000000000|29.03.10 06:00:50,000000000
"73f316ac79c18950000001288d24eaa300d9"|"73f316ac79c18950000001288d24eb1000e0"|29.03.10 07:16:49,000000000|29.03.10 06:35:49,000000000
"73f316ac79c18950000001288d24f62c00e2"|"73f316ac79c18950000001288d24f61c00e1"|29.03.10 08:47:08,000000000|29.03.10 08:32:20,000000000
"73f316ac79c18950000001288d274220004b"|"73f316ac79c18950000001288d274210004a"|31.03.10 12:04:37,000000000|31.03.10 10:39:27,000000000
"73f316ac79c18950000001288d2cbe4c006a"|"73f316ac79c18950000001288d2cbe3d0069"|03.04.10 10:18:56,000000000|03.04.10 09:45:22,000000000
"73f316ac79c18950000001288d2cc8cc006c"|"73f316ac79c18950000001288d2cc8bc006b"|03.04.10 01:03:57,000000000|03.04.10 00:00:00,000000000
"73f316ac79c18950000001288d2cc8dc006d"|"73f316ac79c18950000001288d2cc8cc006c"|03.04.10 03:39:43,000000000|03.04.10 01:13:57,000000000
"73f316ac79c18950000001288d2cc8eb006e"|"73f316ac79c18950000001288d2cc8dc006d"|03.04.10 07:23:04,000000000|03.04.10 04:59:43,000000000
"73f316ac79c18950000001288d2cd3b90070"|"73f316ac79c18950000001288d2cd3a9006f"|03.04.10 01:46:11,000000000|03.04.10 00:00:00,000000000
"73f316ac79c18950000001288d2cd3c80071"|"73f316ac79c18950000001288d2cd3b90070"|03.04.10 03:42:22,000000000|03.04.10 01:56:11,000000000
"73f316ac79c18950000001288d2cdc350073"|"73f316ac79c18950000001288d2cdc250072"|03.04.10 02:10:32,000000000|03.04.10 00:00:00,000000000
"73f316ac79c18950000001288d2cdc440074"|"73f316ac79c18950000001288d2cdc350073"|03.04.10 04:31:04,000000000|03.04.10 02:20:32,000000000
"73f316ac79c18950000001288d2ce53d0076"|"73f316ac79c18950000001288d2ce52e0075"|04.04.10 00:04:20,000000000|04.04.10 00:00:00,000000000
"73f316ac79c18950000001288d2ce54d0077"|"73f316ac79c18950000001288d2ce53d0076"|04.04.10 00:28:40,000000000|04.04.10 00:24:20,000000000
"73f316ac79c18950000001288d2cedc90079"|"73f316ac79c18950000001288d2ceda90078"|04.04.10 02:06:29,000000000|04.04.10 00:00:00,000000000
"73f316ac79c18950000001288d2cedd8007a"|"73f316ac79c18950000001288d2cedc90079"|04.04.10 04:22:58,000000000|04.04.10 02:16:29,000000000
"73f316ac79c18950000001288d2cf616007c"|"73f316ac79c18950000001288d2cf606007b"|04.04.10 07:47:07,000000000|04.04.10 04:22:58,000000000
"73f316ac79c18950000001288d2cf625007d"|"73f316ac79c18950000001288d2cf616007c"|04.04.10 11:21:16,000000000|04.04.10 07:57:07,000000000
"73f316ac79c18950000001288d2d0047007f"|"73f316ac79c18950000001288d2d0037007e"|04.04.10 01:53:15,000000000|04.04.10 00:00:00,000000000
"73f316ac79c18950000001288d2d00570080"|"73f316ac79c18950000001288d2d0047007f"|04.04.10 03:56:30,000000000|04.04.10 02:03:15,000000000
"73f316ac79c18950000001288d2d095f0082"|"73f316ac79c18950000001288d2d09500081"|04.04.10 02:23:21,000000000|04.04.10 00:00:00,000000000
"73f316ac79c18950000001288d29bb3e00b3"|"73f316ac79c18950000001288d29bb2e00b2"|01.04.10 09:40:02,000000000|01.04.10 09:14:07,000000000
"73f316ac79c18950000001288d2dc3d600d2"|"73f316ac79c18950000001288d2dc3c600d1"|06.04.10 02:08:00,000000000|06.04.10 01:41:57,000000000
"73f316ac79c18950000001288d2dc3e500d3"|"73f316ac79c18950000001288d2dc3d600d2"|06.04.10 02:26:32,000000000|06.04.10 02:18:00,000000000
"73f316ac79c18950000001288d2dc40400d4"|"73f316ac79c18950000001288d2dc3e500d3"|06.04.10 03:51:51,000000000|06.04.10 02:56:32,000000000
"73f316ac79c18950000001288d2dc41400d5"|"73f316ac79c18950000001288d2dc40400d4"|06.04.10 05:09:03,000000000|06.04.10 04:31:51,000000000
"73f316ac79c18950000001288d2dd0d600d7"|"73f316ac79c18950000001288d2dd0c600d6"|06.04.10 00:20:46,000000000|06.04.10 00:00:00,000000000
